,period,cash_on_hand,receivables,inventory,pre_paid_expenses,other_current_assets,total_current_assets,property_plant_and_equipment,long_term_investments,goodwill_and_intangible_assets,other_long_term_assets,total_long_term_assets,total_assets,total_current_liabilities,long_term_debt,other_non_current_liabilities,total_long_term_liabilities,total_liabilities,common_stock_net,retained_earnings_or_accumulated_deficit,comprehensive_income,other_share_holders_equity,share_holder_equity,total_liabilities_and_share_holders_equity,for_grouping
2023Q1,2023Q1,55872.0,35899.0,7482.0,0.0,13660.0,112913.0,43398.0,110461.0,0.0,65388.0,219247.0,332160.0,120075.0,97041.0,52886.0,149927.0,270002.0,69568.0,4336.0,-11746.0,0.0,62158.0,332160.0,2023-03-31
2022Q4,2022Q4,51355.0,54180.0,6820.0,0.0,16422.0,128777.0,42951.0,114095.0,0.0,60924.0,217970.0,346747.0,137286.0,99627.0,53107.0,152734.0,290020.0,66399.0,3240.0,-12912.0,0.0,56727.0,346747.0,2022-12-31
2022Q3,2022Q3,48304.0,60932.0,4946.0,0.0,21223.0,135405.0,42117.0,120805.0,0.0,54428.0,217350.0,352755.0,153982.0,98959.0,49142.0,148101.0,302083.0,64849.0,-3068.0,-11109.0,0.0,50672.0,352755.0,2022-09-30
2022Q2,2022Q2,48231.0,42242.0,5433.0,0.0,16386.0,112292.0,40335.0,131077.0,0.0,52605.0,224017.0,336309.0,129873.0,94700.0,53629.0,148329.0,278202.0,62115.0,5289.0,-9297.0,0.0,58107.0,336309.0,2022-06-30
2022Q1,2022Q1,51511.0,45400.0,5460.0,0.0,15809.0,118180.0,39304.0,141219.0,0.0,51959.0,232482.0,350662.0,127508.0,103323.0,52432.0,155755.0,283263.0,61181.0,12712.0,-6494.0,0.0,67399.0,350662.0,2022-03-31
2021Q4,2021Q4,63913.0,65253.0,5876.0,0.0,18112.0,153154.0,39245.0,138683.0,0.0,50109.0,228037.0,381191.0,147574.0,106629.0,55056.0,161685.0,309259.0,58424.0,14435.0,-927.0,0.0,71932.0,381191.0,2021-12-31
2021Q3,2021Q3,62639.0,51506.0,6580.0,0.0,14111.0,134836.0,39440.0,127877.0,0.0,48849.0,216166.0,351002.0,125481.0,109106.0,53325.0,162431.0,287912.0,57365.0,5562.0,163.0,0.0,63090.0,351002.0,2021-09-30
2021Q2,2021Q2,61696.0,33908.0,5178.0,0.0,13641.0,114423.0,38615.0,131948.0,0.0,44854.0,215417.0,329840.0,107754.0,105752.0,52054.0,157806.0,265560.0,54989.0,9233.0,58.0,0.0,64280.0,329840.0,2021-06-30
2021Q1,2021Q1,69834.0,33036.0,5219.0,0.0,13376.0,121465.0,37815.0,134539.0,0.0,43339.0,215693.0,337158.0,106385.0,108642.0,52953.0,161595.0,267980.0,54203.0,15261.0,-286.0,0.0,69178.0,337158.0,2021-03-31
2020Q4,2020Q4,76826.0,58620.0,4973.0,0.0,13687.0,154106.0,37933.0,118745.0,0.0,43270.0,199948.0,354054.0,132507.0,99281.0,56042.0,155323.0,287830.0,51744.0,14301.0,179.0,0.0,66224.0,354054.0,2020-12-31
2020Q3,2020Q3,90943.0,37445.0,4061.0,0.0,11264.0,143713.0,36766.0,100887.0,0.0,42522.0,180175.0,323888.0,105392.0,98667.0,54490.0,153157.0,258549.0,50779.0,14966.0,-406.0,0.0,65339.0,323888.0,2020-09-30
2020Q2,2020Q2,93025.0,32075.0,3978.0,0.0,10987.0,140065.0,35687.0,100592.0,0.0,41000.0,177279.0,317344.0,95318.0,94048.0,55696.0,149744.0,245062.0,48696.0,24136.0,-550.0,0.0,72282.0,317344.0,2020-06-30
2020Q1,2020Q1,94051.0,30677.0,3334.0,0.0,15691.0,143753.0,35889.0,98793.0,0.0,41965.0,176647.0,320400.0,96094.0,89086.0,56795.0,145881.0,241975.0,48032.0,33182.0,-2789.0,0.0,78425.0,320400.0,2020-03-31
2019Q4,2019Q4,107162.0,39946.0,4097.0,0.0,12026.0,163231.0,37031.0,99899.0,0.0,40457.0,177387.0,340618.0,102161.0,93078.0,55848.0,148926.0,251087.0,45972.0,43977.0,-418.0,0.0,89531.0,340618.0,2019-12-31
2019Q3,2019Q3,100557.0,45804.0,4106.0,0.0,12352.0,162819.0,37378.0,105341.0,0.0,32978.0,175697.0,338516.0,105718.0,91807.0,50503.0,142310.0,248028.0,45174.0,45898.0,-584.0,0.0,90488.0,338516.0,2019-09-30
2019Q2,2019Q2,94614.0,26474.0,3355.0,0.0,10530.0,134973.0,37636.0,115996.0,0.0,33634.0,187266.0,322239.0,89704.0,84936.0,51143.0,136079.0,225783.0,43371.0,53724.0,-639.0,0.0,96456.0,322239.0,2019-06-30
2019Q1,2019Q1,80092.0,26278.0,4884.0,0.0,12092.0,123346.0,38746.0,145319.0,0.0,34587.0,218652.0,341998.0,93772.0,90201.0,52165.0,142366.0,236138.0,42801.0,64558.0,-1499.0,0.0,105860.0,341998.0,2019-03-31
2018Q4,2018Q4,86427.0,36981.0,4988.0,0.0,12432.0,140828.0,39597.0,158608.0,0.0,34686.0,232891.0,373719.0,108283.0,92989.0,54555.0,147544.0,255827.0,40970.0,80510.0,-3588.0,0.0,117892.0,373719.0,2018-12-31
