,period,net_income_dash_loss,total_depreciation_and_amortization_cash_flow,other_non_cash_items,total_non_cash_items,change_in_accounts_receivable,change_in_inventories,change_in_accounts_payable,change_in_assets_dash_liabilities,total_change_in_assets_dash_liabilities,cash_flow_from_operating_activities,net_change_in_property_plant_and_equipment,net_change_in_intangible_assets,net_acquisitions_dash_divestitures,net_change_in_short_term_investments,net_change_in_long_term_investments,net_change_in_investments_total,investing_activities_other,cash_flow_from_investing_activities,net_long_term_debt,net_current_debt,debt_issuance_dash_retirement_net_total,net_common_equity_issued_dash_repurchased,net_total_equity_issued_dash_repurchased,total_common_and_preferred_stock_dividends_paid,financial_activities_other,cash_flow_from_financial_activities,net_cash_flow,stock_based_compensation,common_stock_dividends_paid,for_grouping
2023Q1,2023Q1,24160.0,2898.0,1271.0,4169.0,5321.0,-741.0,-14689.0,10340.0,231.0,28560.0,-2916.0,0.0,0.0,5341.0,0.0,5341.0,-106.0,2319.0,-2250.0,254.0,-1996.0,-19594.0,-19594.0,-3650.0,-484.0,-25724.0,5155.0,2686.0,-3650.0,2023-03-31
2022Q4,2022Q4,29998.0,2916.0,2588.0,5504.0,4275.0,-1807.0,-6075.0,2110.0,-1497.0,34005.0,-3787.0,0.0,0.0,2483.0,0.0,2483.0,-141.0,-1445.0,-1401.0,-8214.0,-9615.0,-19475.0,-19475.0,-3768.0,-2705.0,-35563.0,-3003.0,2905.0,-3768.0,2022-12-31
2022Q3,2022Q3,20721.0,2865.0,589.0,3454.0,-6384.0,435.0,15556.0,-9655.0,-48.0,24127.0,-3289.0,0.0,-137.0,2806.0,0.0,2806.0,-597.0,-1217.0,2672.0,-1015.0,1657.0,-24428.0,-24428.0,-3703.0,-320.0,-26794.0,-3884.0,2278.0,-3703.0,2022-09-30
2022Q2,2022Q2,19442.0,2805.0,3870.0,6675.0,-981.0,-16.0,-4358.0,2130.0,-3225.0,22892.0,-2102.0,0.0,-169.0,6953.0,0.0,6953.0,-448.0,4234.0,-3000.0,3971.0,971.0,-21865.0,-21865.0,-3811.0,-2740.0,-27445.0,-319.0,2243.0,-3811.0,2022-06-30
2022Q1,2022Q1,25010.0,2737.0,2471.0,5208.0,9476.0,384.0,-21563.0,9651.0,-2052.0,28166.0,-2514.0,0.0,0.0,-6390.0,0.0,-6390.0,-361.0,-9265.0,-3750.0,1999.0,-1751.0,-22631.0,-22631.0,-3595.0,-374.0,-28351.0,-9450.0,2252.0,-3595.0,2022-03-31
2021Q4,2021Q4,34630.0,2697.0,3114.0,5811.0,-3934.0,681.0,19813.0,-10035.0,6525.0,46966.0,-2803.0,0.0,0.0,-12929.0,0.0,-12929.0,-374.0,-16106.0,0.0,-1000.0,-1000.0,-20478.0,-20478.0,-3732.0,-2949.0,-28159.0,2701.0,2265.0,-3732.0,2021-12-31
2021Q3,2021Q3,20551.0,2989.0,-1550.0,1439.0,-8809.0,-1429.0,14112.0,-5664.0,-1790.0,20200.0,-3223.0,0.0,-20.0,4352.0,0.0,4352.0,-274.0,835.0,5220.0,-2000.0,3220.0,-19748.0,-19748.0,-3640.0,-214.0,-20382.0,653.0,1945.0,-3640.0,2021-09-30
2021Q2,2021Q2,21744.0,2832.0,1215.0,4047.0,1031.0,13.0,211.0,-5952.0,-4697.0,21094.0,-2093.0,0.0,-4.0,5747.0,0.0,5747.0,-78.0,3572.0,-3000.0,3000.0,0.0,-22900.0,-22900.0,-3767.0,-2729.0,-29396.0,-4730.0,1960.0,-3767.0,2021-06-30
2021Q1,2021Q1,23630.0,2797.0,1333.0,4130.0,8598.0,-276.0,-23667.0,11566.0,-3779.0,23981.0,-2269.0,0.0,-9.0,-7895.0,0.0,-7895.0,-195.0,-10368.0,10423.0,0.0,10423.0,-18548.0,-18548.0,-3447.0,246.0,-11326.0,2287.0,1981.0,-3447.0,2021-03-31
2020Q4,2020Q4,28755.0,2666.0,1987.0,4653.0,-10945.0,-950.0,21670.0,-4420.0,5355.0,38763.0,-3500.0,0.0,0.0,-5279.0,0.0,-5279.0,195.0,-8584.0,-1000.0,22.0,-978.0,-24775.0,-24775.0,-3613.0,-2883.0,-32249.0,-2070.0,2020.0,-3613.0,2020-12-31
