,period,open_date,close_date,last_date,open,average,close,low,low_date,high,high_date
2023Q3,2023Q3,2023-07-03,2023-09-29,2023-07-24,5.08,5.0793333333333335,5.08,5.07,2023-07-10,5.08,2023-07-03
2023Q2,2023Q2,2023-04-03,2023-06-30,2023-06-30,4.83,4.987301587301587,5.08,4.83,2023-04-03,5.08,2023-05-04
2023Q1,2023Q1,2023-01-03,2023-03-31,2023-03-31,4.33,4.521935483870968,4.83,4.33,2023-01-03,4.83,2023-03-23
2022Q4,2022Q4,2022-10-03,2022-12-30,2022-12-30,3.08,3.649672131147541,4.33,3.08,2022-10-03,4.33,2022-12-15
2022Q3,2022Q3,2022-07-01,2022-09-30,2022-09-30,1.58,2.2009375,3.08,1.58,2022-07-01,3.08,2022-09-22
2022Q2,2022Q2,2022-04-01,2022-06-30,2022-06-30,0.33,0.7585714285714286,1.58,0.33,2022-04-01,1.58,2022-06-16
2022Q1,2022Q1,2022-01-03,2022-03-31,2022-03-31,0.08,0.12435483870967742,0.33,0.08,2022-01-03,0.33,2022-03-17
2021Q4,2021Q4,2021-10-01,2021-12-31,2021-12-31,0.08,0.07952380952380952,0.07,0.07,2021-10-29,0.08,2021-10-01
2021Q3,2021Q3,2021-07-01,2021-09-30,2021-09-30,0.1,0.0903125,0.06,0.06,2021-08-31,0.1,2021-07-01
2021Q2,2021Q2,2021-04-01,2021-06-30,2021-06-30,0.07,0.06875,0.08,0.05,2021-04-30,0.1,2021-06-17
2021Q1,2021Q1,2021-01-04,2021-03-31,2021-03-31,0.09,0.07639344262295082,0.06,0.06,2021-03-31,0.09,2021-01-04
2020Q4,2020Q4,2020-10-01,2020-12-31,2020-12-31,0.09,0.08903225806451612,0.09,0.08,2020-11-19,0.09,2020-10-01
2020Q3,2020Q3,2020-07-01,2020-09-30,2020-09-30,0.08,0.09276923076923077,0.09,0.08,2020-07-01,0.1,2020-07-15
2020Q2,2020Q2,2020-04-01,2020-06-30,2020-06-30,0.06,0.058750000000000004,0.08,0.04,2020-04-23,0.09,2020-06-15
2020Q1,2020Q1,2020-01-02,2020-03-31,2020-03-31,1.55,1.2329032258064516,0.08,0.08,2020-03-31,1.6,2020-01-30
2019Q4,2019Q4,2019-10-01,2019-12-31,2019-12-31,1.88,1.6504838709677419,1.55,1.55,2019-11-06,1.9,2019-10-15
2019Q3,2019Q3,2019-07-01,2019-09-30,2019-09-30,2.39,2.1978125,1.9,1.83,2019-09-27,2.42,2019-07-05
2019Q2,2019Q2,2019-04-01,2019-06-28,2019-06-28,2.41,2.3978125,2.4,2.36,2019-06-14,2.45,2019-04-29
2019Q1,2019Q1,2019-01-02,2019-03-29,2019-03-29,2.4,2.4013114754098357,2.43,2.4,2019-01-02,2.43,2019-03-29
2018Q4,2018Q4,2018-10-01,2018-12-31,2018-12-31,2.18,2.2170967741935486,2.4,2.18,2018-10-01,2.4,2018-12-20
2018Q3,2018Q3,2018-07-02,2018-09-28,2018-09-28,1.91,1.9234920634920634,2.18,1.91,2018-07-02,2.18,2018-09-27
2018Q2,2018Q2,2018-04-02,2018-06-29,2018-06-29,1.68,1.7371874999999999,1.91,1.68,2018-04-02,1.92,2018-06-20
2018Q1,2018Q1,2018-01-02,2018-03-30,2018-03-30,1.42,1.4479032258064515,1.67,1.34,2018-01-31,1.68,2018-03-22
2017Q4,2017Q4,2017-10-02,2017-12-29,2017-12-29,1.16,1.201774193548387,1.33,1.07,2017-10-31,1.42,2017-12-18
2017Q3,2017Q3,2017-07-03,2017-09-29,2017-09-29,1.16,1.1555555555555554,1.06,1.06,2017-09-29,1.16,2017-07-03
2017Q2,2017Q2,2017-04-03,2017-06-30,2017-06-30,0.91,0.9528125000000001,1.06,0.83,2017-04-28,1.16,2017-06-15
2017Q1,2017Q1,2017-01-03,2017-03-31,2017-03-31,0.66,0.7038709677419355,0.82,0.56,2017-01-31,0.91,2017-03-16
2016Q4,2016Q4,2016-10-03,2016-12-30,2016-12-30,0.4,0.4491803278688524,0.55,0.31,2016-10-31,0.66,2016-12-15
2016Q3,2016Q3,2016-07-01,2016-09-30,2016-09-30,0.41,0.3953125,0.29,0.29,2016-09-30,0.41,2016-07-01
2016Q2,2016Q2,2016-04-01,2016-06-30,2016-06-30,0.37,0.37,0.3,0.29,2016-05-31,0.41,2016-06-27
2016Q1,2016Q1,2016-01-04,2016-03-31,2016-03-31,0.36,0.3658064516129032,0.25,0.25,2016-03-31,0.38,2016-01-22
2015Q4,2015Q4,2015-10-01,2015-12-31,2015-12-31,0.13,0.16080645161290325,0.2,0.07,2015-10-30,0.37,2015-12-17
2015Q3,2015Q3,2015-07-01,2015-09-30,2015-09-30,0.13,0.1356923076923077,0.07,0.07,2015-09-30,0.15,2015-08-11
2015Q2,2015Q2,2015-04-01,2015-06-30,2015-06-30,0.12,0.1259375,0.08,0.08,2015-04-30,0.14,2015-06-16
2015Q1,2015Q1,2015-01-02,2015-03-31,2015-03-31,0.12,0.11459016393442624,0.06,0.06,2015-01-30,0.13,2015-01-16
2014Q4,2014Q4,2014-10-01,2014-12-31,2014-12-31,0.09,0.10209677419354839,0.06,0.06,2014-12-31,0.13,2014-12-01
2014Q3,2014Q3,2014-07-01,2014-09-30,2014-09-30,0.1,0.0896875,0.07,0.07,2014-08-29,0.1,2014-07-01
2014Q2,2014Q2,2014-04-01,2014-06-30,2014-06-30,0.08,0.09109375,0.09,0.08,2014-04-01,0.1,2014-04-15
2014Q1,2014Q1,2014-01-02,2014-03-31,2014-03-31,0.08,0.07278688524590164,0.06,0.06,2014-02-07,0.09,2014-03-24
2013Q4,2013Q4,2013-10-01,2013-12-31,2013-12-31,0.08,0.08548387096774193,0.07,0.07,2013-10-02,0.11,2013-10-16
2013Q3,2013Q3,2013-07-01,2013-09-30,2013-09-30,0.1,0.08546875,0.06,0.06,2013-09-30,0.1,2013-07-01
2013Q2,2013Q2,2013-04-01,2013-06-28,2013-06-28,0.16,0.11703125,0.07,0.07,2013-06-28,0.16,2013-04-01
2013Q1,2013Q1,2013-01-02,2013-03-29,2013-03-29,0.17,0.14426229508196722,0.09,0.09,2013-03-29,0.17,2013-01-02
2012Q4,2012Q4,2012-10-01,2012-12-31,2012-12-31,0.15,0.16096774193548388,0.09,0.09,2012-12-31,0.18,2012-10-31
2012Q3,2012Q3,2012-07-02,2012-09-28,2012-09-28,0.18,0.1461904761904762,0.09,0.09,2012-09-28,0.19,2012-07-13
2012Q2,2012Q2,2012-04-02,2012-06-29,2012-06-29,0.15,0.15453125,0.09,0.09,2012-06-29,0.18,2012-06-15
