,period,open_date,close_date,last_date,open,avg_open,close,avg_close,low,avg_low,low_date,high,avg_high,high_date,avg_volume,open_volume,close_volume,low_volume,low_volume_date,high_volume,high_volume_date
2023Q3,2023Q3,2023-07-03,2023-09-29,2023-07-25,193.77999877929688,191.8568754196167,193.6199951171875,191.7643756866455,186.60000610351562,190.5699987411499,2023-07-11,198.22999572753906,193.28625106811523,2023-07-19,50870025.0,31458200,37184800,31458200,2023-07-03,80507300,2023-07-19
2023Q2,2023Q2,2023-04-03,2023-06-30,2023-06-30,164.27000427246094,173.81935587236958,193.97000122070312,174.25032289566533,159.77999877929688,172.8098385718561,2023-04-12,194.47999572753906,175.31209711874686,2023-06-30,57128488.70967742,56976200,85069600,37266700,2023-05-15,121946500,2023-06-05
2023Q1,2023Q1,2023-01-03,2023-03-31,2023-03-31,130.27999877929688,146.92403264199532,164.89999389648438,147.55112851050592,124.16999816894531,145.65338762344854,2023-01-03,165.0,148.95838694418632,2023-03-31,68889000.0,112117500,68749800,44998500,2023-02-27,154357300,2023-02-03
2022Q4,2022Q4,2022-10-03,2022-12-30,2022-12-30,138.2100067138672,142.966191488599,129.92999267578125,142.9111104087224,125.87000274658203,140.75523800320096,2022-12-28,157.5,144.99999975779699,2022-10-28,83630453.96825397,114311700,77034200,35195900,2022-11-25,164762400,2022-10-28
2022Q3,2022Q3,2022-07-01,2022-09-30,2022-09-30,136.0399932861328,156.68281245231628,138.1999969482422,156.95046830177307,135.66000366210938,154.98234367370605,2022-07-01,176.14999389648438,158.6618754863739,2022-08-17,78782621.875,71051600,124925300,51218200,2022-08-25,162278800,2022-09-16
2022Q2,2022Q2,2022-04-01,2022-06-30,2022-06-30,174.02999877929688,151.66532282675468,136.72000122070312,151.43919397169543,129.0399932861328,149.26854878087198,2022-06-16,178.49000549316406,153.88129031273627,2022-04-04,94160253.22580644,78751300,98964500,53950200,2022-06-08,182602000,2022-05-12
2022Q1,2022Q1,2022-01-03,2022-03-31,2022-03-31,177.8300018310547,168.02677351428616,174.61000061035156,168.16354886947138,150.10000610351562,165.87774141373174,2022-03-14,182.94000244140625,170.22354815083165,2022-01-04,95431651.61290322,104487900,103049300,61177400,2022-02-16,179935700,2022-01-28
2021Q4,2021Q4,2021-10-01,2021-12-31,2021-12-31,141.89999389648438,157.4921875,177.57000732421875,158.0370316505432,138.27000427246094,156.17062425613403,2021-10-04,182.1300048828125,159.44359397888184,2021-12-13,89076170.3125,94639600,64062300,41000000,2021-11-11,195432700,2021-12-17
2021Q3,2021Q3,2021-07-01,2021-09-30,2021-09-30,136.60000610351562,147.15218830108643,141.5,147.2229688167572,135.75999450683594,145.89031171798706,2021-07-01,157.25999450683594,148.5026569366455,2021-09-07,80912703.125,52485800,89056700,46397700,2021-08-05,140893200,2021-09-10
2021Q2,2021Q2,2021-04-01,2021-06-30,2021-06-30,123.66000366210938,129.4379372975183,136.9600067138672,129.56888895186168,122.25,128.3968253968254,2021-05-12,137.41000366210938,130.6133338080512,2021-06-30,82672736.50793651,75089100,63261400,53522400,2021-06-11,151101000,2021-04-29
