,period,open_date,close_date,last_date,open,average,close,low,low_date,high,high_date
2023Q3,2023Q3,2023-07-03,2023-09-29,2023-07-25,5.43,5.368125,5.38,5.27,2023-07-13,5.44,2023-07-06
2023Q2,2023Q2,2023-04-03,2023-06-30,2023-06-30,4.6,4.948730158730158,5.4,4.43,2023-04-05,5.41,2023-06-29
2023Q1,2023Q1,2023-01-03,2023-03-31,2023-03-31,4.72,4.759354838709677,4.64,4.19,2023-03-15,5.25,2023-03-08
2022Q4,2022Q4,2022-10-03,2022-12-30,2022-12-30,4.01,4.613606557377049,4.73,4.01,2022-10-03,4.8,2022-11-07
2022Q3,2022Q3,2022-07-01,2022-09-30,2022-09-30,2.79,3.39765625,4.05,2.77,2022-07-05,4.17,2022-09-26
2022Q2,2022Q2,2022-04-01,2022-06-30,2022-06-30,1.72,2.204354838709677,2.8,1.72,2022-04-01,3.15,2022-06-14
2022Q1,2022Q1,2022-01-03,2022-03-31,2022-03-31,0.4,0.9803225806451613,1.63,0.38,2022-01-04,1.69,2022-03-28
2021Q4,2021Q4,2021-10-01,2021-12-31,2021-12-31,0.09,0.20032258064516129,0.39,0.09,2021-10-01,0.39,2021-12-28
2021Q3,2021Q3,2021-07-01,2021-09-30,2021-09-30,0.09,0.07546875,0.09,0.06,2021-08-19,0.09,2021-07-01
2021Q2,2021Q2,2021-04-01,2021-06-30,2021-06-30,0.06,0.059687500000000004,0.07,0.04,2021-05-21,0.09,2021-06-18
2021Q1,2021Q1,2021-01-04,2021-03-31,2021-03-31,0.1,0.08245901639344262,0.07,0.06,2021-02-05,0.12,2021-01-13
2020Q4,2020Q4,2020-10-01,2020-12-31,2020-12-31,0.12,0.11451612903225807,0.1,0.09,2020-12-15,0.15,2020-10-09
2020Q3,2020Q3,2020-07-01,2020-09-30,2020-09-30,0.16,0.13468750000000002,0.12,0.11,2020-07-30,0.17,2020-07-14
2020Q2,2020Q2,2020-04-01,2020-06-30,2020-06-30,0.16,0.1742857142857143,0.16,0.14,2020-04-02,0.27,2020-04-13
2020Q1,2020Q1,2020-01-02,2020-03-31,2020-03-31,1.56,1.067741935483871,0.17,0.11,2020-03-27,1.56,2020-01-02
2019Q4,2019Q4,2019-10-01,2019-12-31,2019-12-31,1.73,1.5758064516129033,1.59,1.51,2019-12-27,1.73,2019-10-01
2019Q3,2019Q3,2019-07-01,2019-09-30,2019-09-30,1.94,1.845,1.75,1.69,2019-09-04,2.0,2019-07-09
2019Q2,2019Q2,2019-04-01,2019-06-28,2019-06-28,2.41,2.258888888888889,1.92,1.91,2019-06-20,2.46,2019-04-22
2019Q1,2019Q1,2019-01-02,2019-03-29,2019-03-29,2.6,2.5396721311475408,2.4,2.4,2019-03-27,2.6,2019-01-02
2018Q4,2018Q4,2018-10-01,2018-12-31,2018-12-31,2.6,2.6681967213114755,2.63,2.57,2018-12-28,2.74,2018-11-07
2018Q3,2018Q3,2018-07-02,2018-09-28,2018-09-28,2.34,2.46015873015873,2.59,2.32,2018-07-05,2.6,2018-09-24
2018Q2,2018Q2,2018-04-02,2018-06-29,2018-06-29,2.08,2.2521875,2.33,2.06,2018-04-06,2.36,2018-06-20
2018Q1,2018Q1,2018-01-02,2018-03-30,2018-03-29,1.83,1.9424590163934425,2.09,1.77,2018-01-11,2.12,2018-03-28
2017Q4,2017Q4,2017-10-02,2017-12-29,2017-12-29,1.31,1.5503225806451613,1.76,1.31,2017-10-02,1.76,2017-12-28
2017Q3,2017Q3,2017-07-03,2017-09-29,2017-09-29,1.24,1.2434920634920636,1.31,1.19,2017-07-18,1.33,2017-09-27
2017Q2,2017Q2,2017-04-03,2017-06-30,2017-06-30,1.02,1.1257142857142857,1.24,0.99,2017-04-21,1.24,2017-06-30
2017Q1,2017Q1,2017-01-03,2017-03-31,2017-03-31,0.89,0.8925806451612904,1.03,0.79,2017-01-23,1.06,2017-03-13
2016Q4,2016Q4,2016-10-03,2016-12-30,2016-12-30,0.63,0.7557377049180328,0.85,0.62,2016-11-04,0.92,2016-12-14
2016Q3,2016Q3,2016-07-01,2016-09-30,2016-09-30,0.45,0.559375,0.59,0.44,2016-07-05,0.63,2016-09-13
2016Q2,2016Q2,2016-04-01,2016-06-30,2016-06-30,0.62,0.56625,0.45,0.45,2016-06-27,0.7,2016-06-01
2016Q1,2016Q1,2016-01-04,2016-03-31,2016-03-31,0.61,0.580983606557377,0.59,0.43,2016-01-20,0.71,2016-03-15
2015Q4,2015Q4,2015-10-01,2015-12-31,2015-12-31,0.31,0.467258064516129,0.65,0.21,2015-10-14,0.76,2015-12-08
2015Q3,2015Q3,2015-07-01,2015-09-30,2015-09-30,0.28,0.3478125,0.33,0.24,2015-07-08,0.47,2015-09-15
2015Q2,2015Q2,2015-04-01,2015-06-30,2015-06-30,0.27,0.2503125,0.28,0.21,2015-04-03,0.3,2015-06-23
2015Q1,2015Q1,2015-01-02,2015-03-31,2015-03-31,0.25,0.22540983606557377,0.26,0.16,2015-01-15,0.28,2015-03-26
2014Q4,2014Q4,2014-10-01,2014-12-31,2014-12-31,0.1,0.15225806451612903,0.25,0.09,2014-10-14,0.28,2014-12-22
2014Q3,2014Q3,2014-07-01,2014-09-30,2014-09-30,0.11,0.109375,0.13,0.09,2014-08-15,0.13,2014-07-30
2014Q2,2014Q2,2014-04-01,2014-06-30,2014-06-30,0.13,0.10301587301587302,0.11,0.09,2014-04-10,0.13,2014-04-01
2014Q1,2014Q1,2014-01-02,2014-03-31,2014-03-31,0.13,0.12049180327868853,0.13,0.1,2014-01-30,0.15,2014-03-19
2013Q4,2013Q4,2013-10-01,2013-12-31,2013-12-31,0.1,0.1253225806451613,0.13,0.09,2013-11-04,0.16,2013-10-15
2013Q3,2013Q3,2013-07-01,2013-09-30,2013-09-30,0.15,0.1225,0.1,0.09,2013-09-26,0.16,2013-09-05
2013Q2,2013Q2,2013-04-01,2013-06-28,2013-06-28,0.14,0.12796875,0.15,0.1,2013-05-07,0.17,2013-06-25
2013Q1,2013Q1,2013-01-02,2013-03-29,2013-03-28,0.15,0.14983333333333335,0.14,0.13,2013-01-09,0.17,2013-02-15
2012Q4,2012Q4,2012-10-01,2012-12-31,2012-12-31,0.17,0.1722950819672131,0.16,0.13,2012-12-14,0.2,2012-11-08
2012Q3,2012Q3,2012-07-02,2012-09-28,2012-09-28,0.21,0.18190476190476193,0.17,0.16,2012-07-31,0.21,2012-07-02
2012Q2,2012Q2,2012-04-02,2012-06-29,2012-06-29,0.18,0.188125,0.21,0.17,2012-04-13,0.22,2012-06-28
2012Q1,2012Q1,2012-01-03,2012-03-30,2012-03-30,0.12,0.1564516129032258,0.19,0.1,2012-01-13,0.22,2012-03-20
2011Q4,2011Q4,2011-10-03,2011-12-30,2011-12-30,0.12,0.1139344262295082,0.12,0.09,2011-10-06,0.14,2011-10-27
2011Q3,2011Q3,2011-07-01,2011-09-30,2011-09-30,0.2,0.13343750000000001,0.13,0.08,2011-09-19,0.22,2011-08-01
2011Q2,2011Q2,2011-04-01,2011-06-30,2011-06-30,0.27,0.20412698412698413,0.19,0.15,2011-06-23,0.3,2011-04-05
2011Q1,2011Q1,2011-01-03,2011-03-31,2011-03-31,0.29,0.2720967741935484,0.3,0.21,2011-03-16,0.31,2011-01-05
2010Q4,2010Q4,2010-10-01,2010-12-31,2010-12-31,0.26,0.2550793650793651,0.29,0.0,2010-10-11,0.32,2010-12-27
2010Q3,2010Q3,2010-07-01,2010-09-30,2010-09-30,0.32,0.26890625,0.27,0.24,2010-09-08,0.32,2010-07-01
2010Q2,2010Q2,2010-04-01,2010-06-30,2010-06-30,0.42,0.37828125,0.32,0.28,2010-06-17,0.49,2010-04-06
2010Q1,2010Q1,2010-01-04,2010-03-31,2010-03-31,0.45,0.3645901639344262,0.41,0.3,2010-01-22,0.45,2010-01-04
2009Q4,2009Q4,2009-10-01,2009-12-31,2009-12-31,0.37,0.3546774193548387,0.47,0.26,2009-11-25,0.47,2009-12-28
2009Q3,2009Q3,2009-07-01,2009-09-30,2009-09-30,0.54,0.44796874999999997,0.4,0.38,2009-09-16,0.54,2009-07-01
2009Q2,2009Q2,2009-04-01,2009-06-30,2009-06-30,0.58,0.5211111111111111,0.56,0.44,2009-05-20,0.62,2009-06-05
2009Q1,2009Q1,2009-01-02,2009-03-31,2009-03-31,0.4,0.5719672131147541,0.57,0.4,2009-01-02,0.75,2009-02-25
2008Q4,2008Q4,2008-10-01,2008-12-31,2008-12-31,1.72,0.9891935483870967,0.37,0.34,2008-12-30,1.74,2008-10-21
2008Q3,2008Q3,2008-07-01,2008-09-30,2008-09-30,2.38,2.12640625,1.78,1.5,2008-09-17,2.4,2008-07-23
2008Q2,2008Q2,2008-04-01,2008-06-30,2008-06-30,1.62,2.0659375,2.36,1.52,2008-04-11,2.68,2008-06-16
2008Q1,2008Q1,2008-01-02,2008-03-31,2008-03-31,3.17,2.1129508196721307,1.55,1.32,2008-03-17,3.17,2008-01-02
2007Q4,2007Q4,2007-10-01,2007-12-31,2007-12-31,4.11,3.6350000000000002,3.34,3.09,2007-12-11,4.33,2007-10-15
2007Q3,2007Q3,2007-07-02,2007-09-28,2007-09-28,4.97,4.535079365079365,4.05,4.03,2007-09-26,5.03,2007-07-09
2007Q2,2007Q2,2007-04-02,2007-06-29,2007-06-29,4.92,4.93421875,4.91,4.82,2007-05-16,5.01,2007-06-12
2007Q1,2007Q1,2007-01-02,2007-03-30,2007-03-30,5.0,5.0075806451612905,4.9,4.89,2007-03-05,5.12,2007-01-26
